x,y
1.08000000,2.52865596
1.08000000,2.67975476
1.08000000,2.83085356
1.08000000,2.98195236
1.08452071,3.13260353
1.11415362,3.28076809
1.13000000,3.43029779
1.13000000,3.58139659
1.13000000,3.73249539
1.13000000,3.88359420
1.13000000,4.03469300
1.13000000,4.18579180
1.13000000,4.33689060
1.13000000,4.48798940
1.13000000,4.63908820
1.13000000,4.79018700
1.13000000,4.94128580
1.14354395,5.09126367
1.16838444,5.24030661
1.18000000,5.39044408
1.18000000,5.54154288
1.18305871,5.69258506
1.18865112,5.84358033
1.19424354,5.99457560
1.19983596,6.14557088
1.20542838,6.29656615
1.21102079,6.44756142
1.21661321,6.59855670
1.22220563,6.74955197
1.22779805,6.90054724
1.23000000,7.05160528
1.23000000,7.20270408
1.23000000,7.35380288
1.23000000,7.50490169
1.23000000,7.65600049
1.23000000,7.80709929
1.23000000,7.95819809
1.23000000,8.10929689
1.23000000,8.26039569
1.23000000,8.41149449
1.23000000,8.56259329
1.23000000,8.71369209
1.23000000,8.86479090
1.23000000,9.01588970
1.23000000,9.16698850
1.23000000,9.31808730
1.21564526,9.46741895
1.18000000,9.61412962
1.18000000,9.76522842
1.15914752,9.91426242
1.13000000,10.06247505
1.12913321,10.21346714
1.09248637,10.36005451
1.05583953,10.50664188
1.01590899,10.65227303
0.96777988,10.94666036
0.91999825,11.09000526
0.87221661,11.23335017
0.82212986,11.37574027
0.74844113,11.50733831
0.50855386,11.66079886
0.36368061,11.70372426
0.21880737,11.74664967
0.07393412,11.78957508
-0.07093913,11.83250048
-0.21581237,11.87542589
-0.36068562,11.91835129
-0.50555886,11.96127670
-0.65043211,12.00420211
-0.79815212,12.03563042
-0.94683785,12.06000000
-1.09793665,12.06000000
-1.24796009,12.07299335
-1.39700303,12.09783384
-1.54559780,12.12511956
-1.69376236,12.15475247
-1.84406616,12.16827108
-1.99483030,12.17832202
-2.14559444,12.18837296
-2.29635858,12.19842391
-2.44712272,12.20847485
-2.59788687,12.21852579
-2.74865101,12.22857673
-2.89941515,12.23862768
-3.05017929,12.24867862
-3.20094343,12.25872956
-3.35199993,12.26000000
-3.49912474,12.22771882
-3.64571210,12.19107197
-3.79267302,12.15622116
-3.94171596,12.13138067
-4.08996527,12.10334491
-4.23331018,12.05556327
-4.37665509,12.00778164
-4.52000000,11.96000000
-4.52000000,11.96000000
-4.64320259,11.69039222
-4.68090918,11.54454491
-4.70574967,11.39550197
-4.73059016,11.24645903
-4.75543065,11.09741609
-4.78027114,10.94837316
-4.80511163,10.79933022
-4.82995212,10.65028728
-4.85479261,10.50124434
-4.70707882,10.29707882
-4.60023583,10.19023583
-4.47710018,10.10426011
-4.34753403,10.02652042
-4.20711724,9.97237241
-4.06377233,9.92459078
-3.91559843,9.89919984
-3.76530169,9.88365190
-3.61500495,9.86810396
-3.46470821,9.85255602
-3.31441148,9.83700808
-3.16411474,9.82146015
-3.01381800,9.80591221
-2.86352126,9.79036427
-2.71322453,9.77481633
-2.56298679,9.76116887
-2.41394385,9.78600936
-2.26483057,9.81000000
-2.11385349,9.80877070
-1.96568893,9.77913779
-1.81874206,9.74462262
-1.67401566,9.70120470
-1.52928926,9.65778678
-1.38456285,9.61436886
-1.24845205,9.54922603
-1.11330518,9.48165259
-0.97815830,9.41407915
-0.84667712,9.15169280
-0.79056043,9.01140108
-0.72718460,8.87436920
-0.67000000,8.58567105
-0.66498262,8.43473931
-0.65493168,8.28397517
-0.64488074,8.13321103
-0.63482979,7.98244689
-0.62477885,7.83168275
-0.62000000,7.68074307
-0.62000000,7.52964427
-0.62000000,7.37854546
-0.62000000,7.22744666
-0.62475913,7.07668608
-0.64612773,6.92710590
-0.66749633,6.77752572
-0.67000000,6.62660485
-0.67000000,6.47550605
-0.67000000,6.32440725
-0.67000000,6.17330845
-0.67198622,6.02226188
-0.67992779,5.87137192
-0.68786937,5.72048196
-0.69581095,5.56959201
-0.70375252,5.41870205
-0.71169410,5.26781209
-0.71963568,5.11692214
-0.72000000,4.96583292
-0.72000000,4.81473412
-0.72000000,4.66363532
-0.72000000,4.51253651
-0.72000000,4.36143771
-0.72000000,4.21033891
-0.72000000,4.05924011
-0.73263402,3.90892788
-0.75137552,3.75899588
-0.77000000,3.60905660
-0.77000000,3.45795779
-0.77000000,3.30685899
-0.77000000,3.15576019
-0.77000000,3.00466139
-0.77000000,2.85356259
-0.77000000,2.70246379
-0.77000000,2.55136499
-0.77000000,2.40026619
-0.77000000,2.24916739
-0.77000000,2.09806859
-0.77000000,1.94696978
-0.77000000,1.79587098
-0.77000000,1.64477218
-0.77000000,1.49367338
-0.77000000,1.34257458
-0.77000000,1.19147578
-0.77000000,1.04037698
-0.74072066,0.89288263
-0.69561250,0.74903126
-0.63949582,0.60873954
-0.57590264,0.47180527
-0.51030793,0.33576981
-0.45419124,0.19547810
-0.24062429,0.00465896
-0.09196273,-0.02237041
0.05669883,-0.04939979
0.20536040,-0.07642916
0.35523552,-0.09000000
0.58848751,0.07273127
0.67230205,0.19845307
0.76233267,0.31977690
0.84423166,0.44557916
0.90034835,0.58587087
0.94957643,0.72851751
0.99108646,0.87380263
1.03067338,1.01942737
1.04143873,1.17014219
1.05220407,1.32085700
1.06296942,1.47157182
1.07373476,1.62228663
1.08000000,1.77316196
1.08000000,1.92426076
1.08000000,2.07535956
1.08000000,2.22645836
1.08000000,2.37755716